srcip,dstip,proto,bytes_r,bytes_r_max,bytes_s,bytes_s_max,first,last,pkts_r,pkts_r_max,pkts_s,pkts_s_max,count,activity,ss_time,service
10.145.167.113,54.148.37.5,6,162617,162617,163046,163046,41:09.2,41:33.9,214,214,314,314,1,['browse_home'],24.642462,netflix
10.145.43.25,172.217.9.14,6,40,40,75,75,39:45.5,39:45.5,1,1,1,1,1,['watch_video'],0.063533,netflix
10.145.43.25,192.124.233.66,6,17142175,16442616,140043,129786,26:30.7,39:50.2,13600,13047,2082,1926,2,"['browse_home', 'watch_video']",799.535006,netflix
10.145.43.25,23.23.96.14,6,8139,8139,2211,2211,39:21.5,39:21.8,18,18,20,20,1,['watch_video'],0.309842,netflix
10.145.43.25,23.246.2.135,6,189861,189861,5408,5408,26:48.4,26:48.7,153,153,82,82,1,['browse_home'],0.269524,netflix
10.145.43.25,23.246.2.194,6,64706,64706,2524,2524,43:30.5,43:30.6,55,55,32,32,1,['browse_home'],0.086547,netflix
10.145.43.25,23.246.2.196,6,138985,138985,4042,4042,26:48.8,26:48.9,112,112,61,61,1,['browse_home'],0.10725,netflix
10.145.43.25,23.246.2.197,6,137698,137698,3978,3978,43:30.6,43:30.7,111,111,60,60,1,['browse_home'],0.093622,netflix
10.145.43.25,23.246.2.206,6,0,0,52,52,26:30.7,26:30.7,0,0,1,1,1,['browse_home'],0,netflix
10.145.43.25,23.246.2.208,6,156137,156137,4447,4447,59:43.7,59:43.9,126,126,69,69,1,['browse_home'],0.178368,netflix
10.145.43.25,23.246.3.157,6,3698804,3698804,46224,46224,39:25.3,39:50.2,2963,2963,567,567,1,['watch_video'],24.860825,netflix
10.145.43.25,23.246.3.196,6,64704,64704,2576,2576,59:43.4,59:43.5,55,55,33,33,1,['browse_home'],0.086105,netflix
10.145.43.25,23.246.3.199,6,64706,64706,2524,2524,39:25.2,39:25.5,55,55,32,32,1,['watch_video'],0.359372,netflix
10.145.43.25,23.246.3.203,6,137695,137695,3978,3978,59:43.6,59:43.7,111,111,60,60,1,['browse_home'],0.108063,netflix
10.145.43.25,23.246.3.204,6,156137,156137,4395,4395,43:30.7,43:30.9,126,126,68,68,1,['browse_home'],0.173114,netflix
10.145.43.25,23.246.3.205,6,156132,156132,7463,7463,26:50.1,26:50.3,126,126,127,127,1,['browse_home'],0.12414,netflix
10.145.43.25,34.210.42.111,6,200,200,2312,2312,26:30.7,26:30.7,5,5,5,5,1,['browse_home'],0.018947,netflix
10.145.43.25,35.161.50.134,6,25111,25111,10181,10181,43:13.7,43:14.7,24,24,35,35,1,['browse_home'],1.085329,netflix
10.145.43.25,52.40.130.35,6,51749,25875,20074,10245,39:22.9,59:27.4,58,29,64,36,2,"['watch_video', 'browse_home']",1204.543071,netflix
10.145.43.25,52.42.117.17,6,0,0,52,52,26:30.7,26:30.7,0,0,1,1,1,['browse_home'],0,netflix
10.145.43.25,52.89.124.203,6,290247,179807,278832,152452,26:30.7,59:51.6,448,265,547,309,2,"['browse_home', 'browse_home']",2000.904875,netflix
10.145.43.25,54.148.37.5,6,215581,190557,192038,166117,39:23.2,43:38.7,299,253,386,336,2,"['watch_video', 'browse_home']",255.526463,netflix
10.145.167.113,172.217.12.36,6,40,40,75,75,17:16.9,17:16.9,1,1,1,1,1,['watch_video'],0.008874,netflix
10.145.167.113,172.217.12.42,6,1521,1521,4988,4988,17:12.9,17:13.2,10,10,11,11,1,['watch_video'],0.25096,netflix
10.145.167.113,172.217.6.161,17,150,150,160,160,01:15.4,01:45.5,3,3,3,3,1,['browse_home'],30.104137,netflix
10.145.167.113,192.124.233.66,6,19680139,19680139,88780,88780,17:16.8,17:41.0,15501,15501,1174,1174,1,['watch_video'],24.176403,netflix
10.145.167.113,23.246.2.135,6,4369161,4369161,41788,41788,17:16.3,17:41.0,3460,3460,436,436,1,['watch_video'],24.731281,netflix
10.145.167.113,23.246.2.195,6,156133,156133,4395,4395,01:17.8,01:17.9,126,126,68,68,1,['browse_home'],0.126831,netflix
10.145.167.113,23.246.2.196,6,137697,137697,3978,3978,01:17.7,01:17.7,111,111,60,60,1,['browse_home'],0.082576,netflix
10.145.167.113,23.246.2.211,6,431257,301850,15288,9304,01:17.5,17:16.8,355,245,216,134,3,"['browse_home', 'browse_home', 'watch_video']",959.319503,netflix
10.145.167.113,23.246.3.195,6,137699,137699,3978,3978,06:02.0,06:02.1,111,111,60,60,1,['browse_home'],0.08785,netflix
10.145.167.113,23.246.3.205,6,156134,156134,4395,4395,06:02.2,06:02.4,126,126,68,68,1,['browse_home'],0.177449,netflix
10.145.167.113,34.210.42.111,6,142623,142623,140403,140403,01:14.5,01:39.2,206,206,256,256,1,['browse_home'],24.710027,netflix
10.145.167.113,52.214.80.72,6,0,0,104,104,17:13.5,17:36.8,0,0,2,2,1,['watch_video'],23.306896,netflix
10.145.167.113,52.40.130.35,6,25387,25387,10605,10605,01:14.3,01:15.2,29,29,36,36,1,['browse_home'],0.920905,netflix
10.145.167.113,52.42.117.17,6,50637,25322,19426,9713,05:58.1,17:14.9,56,28,52,26,2,"['browse_home', 'watch_video']",676.865038,netflix
10.145.167.113,52.89.124.203,6,127654,127654,149648,149648,05:58.4,06:22.9,209,209,280,280,1,['browse_home'],24.468857,netflix
10.145.167.113,54.148.37.5,6,25063,25063,25909,25909,17:13.8,17:17.0,50,50,51,51,1,['watch_video'],3.237235,netflix
10.145.43.25,172.217.1.131,6,414,414,714,714,14:55.3,14:58.4,2,2,4,4,1,['watch_video'],3.099392,netflix
10.145.43.25,192.124.233.66,6,33996695,15897184,253747,121794,11:37.2,19:13.7,26776,12513,3802,1875,3,"['watch_video', 'watch_video', 'watch_video']",456.521461,netflix
10.145.43.25,23.246.3.157,6,8224759,3525667,120008,49424,11:36.8,19:13.7,6485,2779,1552,634,3,"['watch_video', 'watch_video', 'watch_video']",456.922496,netflix
10.145.43.25,23.246.3.199,6,65995,65995,2588,2588,11:36.7,11:37.2,56,56,33,33,1,['watch_video'],0.479573,netflix
10.145.43.25,23.246.3.206,6,64755,64755,2576,2576,14:40.7,14:41.1,56,56,33,33,1,['watch_video'],0.394792,netflix
10.145.43.25,23.246.3.207,6,65994,65994,2640,2640,19:11.8,19:12.2,56,56,34,34,1,['watch_video'],0.361486,netflix
10.145.43.25,34.210.42.111,6,130515,105761,71426,45504,11:34.8,19:12.9,162,121,184,134,2,"['watch_video', 'watch_video']",458.108648,netflix
10.145.43.25,35.161.50.134,6,25314,25314,9713,9713,14:38.4,14:39.3,28,28,26,26,1,['watch_video'],0.839448,netflix
10.145.43.25,52.40.130.35,6,25381,25381,9825,9825,19:09.5,19:10.8,29,29,28,28,1,['watch_video'],1.319266,netflix
10.145.43.25,52.42.117.17,6,25324,25324,9713,9713,11:34.6,11:35.4,28,28,26,26,1,['watch_video'],0.862258,netflix
10.145.43.25,52.89.124.203,6,28873,28873,37468,37468,14:38.8,14:41.9,46,46,67,67,1,['watch_video'],3.119208,netflix
10.148.148.8,172.217.9.132,6,1103,1103,1598,1598,56:12.4,56:12.5,8,8,8,8,1,['browse_home'],0.169067,netflix
10.148.148.8,192.124.233.66,6,39458249,19731011,150204,78412,50:26.4,57:27.9,31088,15545,1824,976,2,"['watch_video', 'watch_video']",421.483528,netflix
10.148.148.8,216.58.194.138,6,80,80,127,127,56:27.0,56:27.0,2,2,2,2,1,['browse_home'],0.025308,netflix
10.148.148.8,216.58.194.46,6,7797,7797,5098,5098,50:22.8,50:24.0,14,14,20,20,1,['watch_video'],1.290525,netflix
10.148.148.8,23.246.2.135,6,4369157,4369157,40228,40228,50:25.5,50:49.7,3460,3460,406,406,1,['watch_video'],24.242711,netflix
10.148.148.8,23.246.2.194,6,64707,64707,2524,2524,56:12.3,56:12.4,55,55,32,32,1,['browse_home'],0.155007,netflix
10.148.148.8,23.246.2.197,6,275448,137750,8008,4030,38:13.0,56:12.5,223,112,121,61,2,"['browse_home', 'browse_home']",1079.515674,netflix
10.148.148.8,23.246.2.211,6,301848,301848,11800,11800,50:25.5,50:26.4,245,245,182,182,1,['watch_video'],0.872149,netflix
10.148.148.8,23.246.3.157,6,4366585,4366585,38852,38852,57:04.2,57:27.9,3458,3458,380,380,1,['watch_video'],23.702801,netflix
10.148.148.8,23.246.3.199,6,366556,300561,11776,9188,38:12.9,57:04.6,300,244,165,132,2,"['browse_home', 'watch_video']",1131.784587,netflix
10.148.148.8,23.246.3.204,6,156133,156133,4395,4395,38:13.2,38:13.4,126,126,68,68,1,['browse_home'],0.123036,netflix
10.148.148.8,23.246.3.205,6,156133,156133,4395,4395,56:12.6,56:12.7,126,126,68,68,1,['browse_home'],0.160147,netflix
10.148.148.8,34.210.42.111,6,154798,154798,154231,154231,38:06.2,38:30.6,238,238,310,310,1,['browse_home'],24.40299,netflix
10.148.148.8,50.17.214.13,6,8139,8139,2159,2159,38:04.4,38:04.7,18,18,19,19,1,['browse_home'],0.285179,netflix
10.148.148.8,52.40.130.35,6,50540,25376,20006,10293,38:06.1,50:23.9,54,29,63,37,2,"['browse_home', 'watch_video']",737.808663,netflix
10.148.148.8,52.42.117.17,6,50966,25581,19538,9825,56:09.2,57:03.1,62,33,54,28,2,"['browse_home', 'watch_video']",53.930797,netflix
10.148.148.8,52.89.124.203,6,29324,29324,37392,37392,50:23.2,50:26.4,52,52,61,61,1,['watch_video'],3.189693,netflix
10.148.148.8,54.148.37.5,6,177971,153062,186641,160667,56:09.2,57:04.8,256,209,329,278,2,"['browse_home', 'watch_video']",55.66286,netflix
10.148.220.183,172.217.1.228,6,40,40,75,75,49:19.3,49:19.3,1,1,1,1,1,['browse_home'],0.023614,netflix
10.148.220.183,172.217.2.234,6,80,80,127,127,49:08.3,49:08.3,2,2,2,2,1,['browse_home'],0.010705,netflix
10.148.220.183,192.124.233.66,6,80601499,20157570,583112,200842,48:01.9,53:52.0,63700,15998,8796,3221,4,"['watch_video', 'watch_video', 'watch_video', 'watch_video']",350.091495,netflix
10.148.220.183,216.58.193.138,6,40,40,75,75,48:04.0,48:04.0,1,1,1,1,1,['watch_video'],0.012228,netflix
10.148.220.183,216.58.194.138,6,40,40,75,75,48:02.9,48:02.9,1,1,1,1,1,['watch_video'],0.019437,netflix
10.148.220.183,216.58.194.78,6,40,40,75,75,48:19.8,48:19.8,1,1,1,1,1,['watch_video'],0.025422,netflix
10.148.220.183,23.21.95.211,6,8139,8139,2211,2211,38:04.4,38:04.7,18,18,20,20,1,['browse_home'],0.301523,netflix
10.148.220.183,23.246.2.135,6,12831317,4368057,152248,56312,48:01.7,52:50.0,10155,3438,1815,705,3,"['watch_video', 'watch_video', 'watch_video']",288.304948,netflix
10.148.220.183,23.246.2.194,6,129413,64707,5048,2524,49:24.3,51:23.2,110,55,64,32,2,"['browse_home', 'watch_video']",118.896033,netflix
10.148.220.183,23.246.2.195,6,156135,156135,7515,7515,46:24.8,46:24.9,126,126,128,128,1,['browse_home'],0.131674,netflix
10.148.220.183,23.246.2.206,6,64707,64707,2524,2524,52:25.6,52:25.7,55,55,32,32,1,['watch_video'],0.086446,netflix
10.148.220.183,23.246.2.211,6,64704,64704,2524,2524,48:01.6,48:01.7,55,55,32,32,1,['watch_video'],0.09483,netflix
10.148.220.183,23.246.3.157,6,4232525,4232525,48304,48304,53:27.4,53:51.9,3352,3352,572,572,1,['watch_video'],24.546902,netflix
10.148.220.183,23.246.3.195,6,413149,137751,12142,4082,38:22.8,49:24.6,334,112,184,62,3,"['browse_home', 'browse_home', 'browse_home']",661.804733,netflix
10.148.220.183,23.246.3.196,6,64703,64703,2524,2524,38:22.6,38:22.7,55,55,32,32,1,['browse_home'],0.085678,netflix
10.148.220.183,23.246.3.204,6,156135,156135,4395,4395,49:24.5,49:24.6,126,126,68,68,1,['browse_home'],0.085537,netflix
10.148.220.183,23.246.3.205,6,156134,156134,4395,4395,38:23.1,38:23.2,126,126,68,68,1,['browse_home'],0.151379,netflix
10.148.220.183,23.246.3.206,6,64705,64705,3772,3772,53:27.3,53:27.5,55,55,56,56,1,['watch_video'],0.114334,netflix
10.148.220.183,23.246.3.207,6,64703,64703,2524,2524,46:24.5,46:24.6,55,55,32,32,1,['browse_home'],0.162775,netflix
10.148.220.183,31.13.93.19,6,13278,10804,9322,5632,46:29.5,48:04.0,42,22,46,25,2,"['browse_home', 'watch_video']",94.475849,netflix
10.148.220.183,34.210.42.111,6,174248,174248,152035,152035,38:06.0,38:30.7,237,237,302,302,1,['browse_home'],24.748132,netflix
10.148.220.183,35.161.50.134,6,75800,25320,24392,10181,38:06.0,53:26.5,81,28,82,35,3,"['browse_home', 'browse_home', 'watch_video']",920.52458,netflix
10.148.220.183,35.186.224.53,6,2626,1308,1366,671,46:23.5,52:46.0,14,6,9,4,3,"['browse_home', 'browse_home', 'watch_video']",382.506644,netflix
10.148.220.183,52.40.130.35,6,75968,25324,29295,9869,47:59.9,52:24.3,84,28,81,29,3,"['watch_video', 'browse_home', 'watch_video']",264.379584,netflix
10.148.220.183,52.42.117.17,6,25316,25316,9713,9713,51:21.2,51:21.7,28,28,26,26,1,['watch_video'],0.451282,netflix
10.148.220.183,52.89.124.203,6,154586,125578,183399,146243,49:06.8,53:28.3,239,193,322,262,2,"['browse_home', 'watch_video']",261.434751,netflix
10.148.220.183,54.148.37.5,6,219299,131658,256411,144600,46:07.4,52:26.6,337,190,437,251,4,"['browse_home', 'watch_video', 'watch_video', 'watch_video']",379.195577,netflix
10.148.148.8,157.240.19.19,6,25509,12519,13087,5506,26:37.2,31:20.8,52,22,56,22,3,"['watch_video', 'watch_video', 'browse_home']",283.57538,netflix
10.148.148.8,172.217.1.234,6,40,40,75,75,26:27.6,26:27.7,1,1,1,1,1,['watch_video'],0.009802,netflix
10.148.148.8,172.217.2.234,6,80,80,127,127,41:28.2,41:28.2,2,2,2,2,1,['watch_video'],0.049864,netflix
10.148.148.8,192.124.233.66,6,118381226,19735618,657528,221160,22:15.6,44:03.3,93335,15621,9381,3651,6,"['watch_video', 'watch_video', 'watch_video', 'watch_video', 'watch_video', 'watch_video']",1307.642269,netflix
10.148.148.8,216.58.194.74,6,80,80,127,127,26:27.9,26:27.9,2,2,2,2,1,['watch_video'],0.008762,netflix
10.148.148.8,23.246.2.135,6,17053857,4365290,162036,48112,22:14.7,44:03.2,13532,3457,1665,554,4,"['watch_video', 'watch_video', 'watch_video', 'watch_video']",1308.480156,netflix
10.148.148.8,23.246.2.194,6,300567,300567,10436,10436,26:30.0,26:30.9,244,244,156,156,1,['watch_video'],0.881246,netflix
10.148.148.8,23.246.2.195,6,217804,217804,6295,6295,30:52.2,30:53.2,176,176,94,94,1,['browse_home'],1.078842,netflix
10.148.148.8,23.246.2.197,6,137696,137696,6734,6734,30:52.4,30:53.1,111,111,113,113,1,['browse_home'],0.681409,netflix
10.148.148.8,23.246.2.206,6,601129,300565,18376,9188,28:37.2,43:39.9,488,244,264,132,2,"['watch_video', 'watch_video']",902.608125,netflix
10.148.148.8,23.246.2.211,6,300561,300561,10852,10852,22:14.4,22:15.5,244,244,164,164,1,['watch_video'],1.136726,netflix
10.148.148.8,23.246.3.157,6,8739608,4370455,80572,40644,27:35.2,41:41.6,6921,3461,814,414,2,"['watch_video', 'watch_video']",846.387417,netflix
10.148.148.8,23.246.3.195,6,137699,137699,3978,3978,18:14.9,18:15.6,111,111,60,60,1,['browse_home'],0.645273,netflix
10.148.148.8,23.246.3.199,6,303142,303142,12280,12280,41:16.6,41:17.7,246,246,191,191,1,['watch_video'],1.076372,netflix
10.148.148.8,23.246.3.204,6,156135,156135,4395,4395,18:15.6,18:15.9,126,126,68,68,1,['browse_home'],0.263293,netflix
10.148.148.8,23.246.3.206,6,365262,300559,11712,9188,18:14.5,27:36.0,299,244,164,132,2,"['browse_home', 'watch_video']",561.479581,netflix
10.148.148.8,34.210.42.111,6,136092,106753,70307,37307,41:14.8,43:40.2,176,121,182,121,2,"['watch_video', 'watch_video']",145.472196,netflix
10.148.148.8,35.161.50.134,6,51261,25937,19753,10040,22:12.3,26:28.7,58,30,54,28,2,"['watch_video', 'watch_video']",256.401026,netflix
10.148.148.8,52.40.130.35,6,50669,25348,19426,9713,18:12.7,27:33.8,56,28,52,26,2,"['browse_home', 'watch_video']",561.120629,netflix
10.148.148.8,52.42.117.17,6,102074,26233,33649,9713,28:35.1,43:38.5,107,28,99,26,4,"['watch_video', 'browse_home', 'watch_video', 'watch_video']",903.480402,netflix
10.148.148.8,52.89.124.203,6,58957,33059,64143,38002,22:12.3,26:31.4,96,51,121,71,2,"['watch_video', 'watch_video']",259.095393,netflix
10.148.148.8,54.148.37.5,6,353624,155582,403334,162415,18:12.7,31:14.5,500,201,682,289,4,"['browse_home', 'watch_video', 'watch_video', 'browse_home']",781.776783,netflix
10.148.220.183,104.244.42.129,6,187,187,255,255,32:52.0,32:52.0,3,3,5,5,1,['browse_home'],0.031413,netflix
10.148.220.183,104.244.42.131,6,187,187,215,215,32:51.0,32:51.0,3,3,4,4,1,['browse_home'],0.032377,netflix
10.148.220.183,104.244.42.134,6,135,135,298,298,32:48.7,32:49.0,2,2,5,5,1,['browse_home'],0.25827,netflix
10.148.220.183,104.244.42.194,6,270,270,513,513,32:48.7,32:51.9,4,4,9,9,1,['browse_home'],3.18517,netflix
10.148.220.183,172.217.1.228,17,2860,2860,8190,8190,03:41.6,03:42.0,9,9,11,11,1,['watch_video'],0.413815,netflix
10.148.220.183,172.217.6.170,6,40,40,202,202,32:48.7,32:49.0,1,1,3,3,1,['browse_home'],0.220939,netflix
10.148.220.183,192.124.233.66,6,40296226,20152653,195388,101422,03:21.7,57:47.4,31704,15856,2649,1397,2,"['watch_video', 'watch_video']",3265.634038,netflix
10.148.220.183,23.246.2.196,6,137695,137695,3978,3978,32:45.8,32:45.9,111,111,60,60,1,['browse_home'],0.0834,netflix
10.148.220.183,23.246.2.206,6,64707,64707,2524,2524,32:45.6,32:45.7,55,55,32,32,1,['browse_home'],0.087838,netflix
10.148.220.183,23.246.3.157,6,8680350,4366620,79708,39920,03:21.5,57:47.4,6874,3458,799,401,2,"['watch_video', 'watch_video']",3265.887506,netflix
10.148.220.183,23.246.3.199,6,129409,64705,5984,3460,03:21.5,57:22.6,110,55,82,50,2,"['watch_video', 'watch_video']",3241.105873,netflix
10.148.220.183,23.246.3.204,6,156136,156136,4395,4395,32:46.0,32:46.1,126,126,68,68,1,['browse_home'],0.14717,netflix
10.148.220.183,34.210.42.111,6,182871,182871,152904,152904,32:29.4,32:53.8,250,250,306,306,1,['browse_home'],24.417302,netflix
10.148.220.183,35.161.50.134,6,50737,25423,19426,9713,03:19.8,32:30.2,58,30,52,26,2,"['watch_video', 'browse_home']",1750.325059,netflix
10.148.220.183,52.42.117.17,6,25487,25487,9825,9825,57:19.9,57:21.0,31,31,28,28,1,['watch_video'],1.146975,netflix
10.148.220.183,54.148.37.5,6,58849,29906,75533,38194,03:20.0,57:23.5,104,58,127,67,2,"['watch_video', 'watch_video']",3243.484031,netflix
10.148.148.8,157.240.19.19,6,622,622,1655,1655,01:51.2,01:51.5,3,3,4,4,1,['browse_home'],0.238623,netflix
10.148.148.8,192.124.233.66,6,5140904,5140904,94336,94336,01:28.5,01:51.0,4117,4117,1093,1093,1,['browse_home'],22.500918,netflix
10.148.148.8,23.246.2.148,6,331145,331145,8888,8888,01:34.0,01:34.3,263,263,143,143,1,['browse_home'],0.289901,netflix
10.148.148.8,23.246.2.193,6,251808,251808,6320,6320,01:34.0,01:34.1,201,201,105,105,1,['browse_home'],0.147998,netflix
10.148.148.8,23.246.2.197,6,137697,137697,3978,3978,01:33.8,01:33.9,111,111,60,60,1,['browse_home'],0.175129,netflix
10.148.148.8,23.246.2.203,6,151673,151673,7153,7153,01:33.0,01:43.2,131,131,77,77,1,['browse_home'],10.144033,netflix
10.148.148.8,23.246.2.207,6,8072,8072,1380,1380,01:31.5,01:31.5,11,11,10,10,1,['browse_home'],0.055834,netflix
10.148.148.8,23.246.2.211,6,64704,64704,2524,2524,01:33.6,01:33.7,55,55,32,32,1,['browse_home'],0.125699,netflix
10.148.148.8,23.246.3.134,6,221519,221519,8557,8557,01:32.8,01:43.2,185,185,104,104,1,['browse_home'],10.402984,netflix
10.148.148.8,23.246.3.198,6,10089,10089,2020,2020,01:32.8,01:40.5,13,13,12,12,1,['browse_home'],7.715792,netflix
10.148.148.8,23.246.3.201,6,7093,7093,1380,1380,01:33.0,01:33.1,10,10,10,10,1,['browse_home'],0.106138,netflix
10.148.148.8,23.246.3.206,6,9629,9629,1443,1443,01:33.2,01:33.4,12,12,11,11,1,['browse_home'],0.193725,netflix
10.148.148.8,35.161.50.134,6,25223,25223,5078,5078,01:27.6,01:28.7,26,26,32,32,1,['browse_home'],1.092392,netflix
10.148.148.8,52.89.124.203,6,250215,250215,188060,188060,01:27.3,01:52.0,350,350,403,403,1,['browse_home'],24.756493,netflix
10.148.220.183,172.217.1.228,6,40,40,75,75,01:37.6,01:37.7,1,1,1,1,1,['watch_video'],0.010503,netflix
10.148.220.183,192.124.233.66,6,20143659,20143659,93466,93466,01:38.3,02:02.8,15849,15849,1244,1244,1,['watch_video'],24.504903,netflix
10.148.220.183,23.246.2.135,6,4365320,4365320,42480,42480,01:38.0,02:02.8,3457,3457,450,450,1,['watch_video'],24.791082,netflix
10.148.220.183,23.246.2.194,6,66048,66048,2640,2640,01:37.7,01:38.0,57,57,34,34,1,['watch_video'],0.34966,netflix
10.148.220.183,52.42.117.17,6,25162,25162,9713,9713,01:35.7,01:36.6,25,25,26,26,1,['watch_video'],0.864836,netflix
